lemma,article,plural,pos,en_gloss,tags
teilnehmen,,,verb,to participate,kultur
der Teilnehmer,der,Teilnehmer,noun,participant,kultur
typisch,,,adj,typical,kultur
der Brauch,der,Bräuche,noun,custom,kultur
die Gewohnheit,die,Gewohnheiten,noun,habit,kultur
sich gewöhnen an,,,verb,to get used to,kultur
im Gegensatz zu,,,phrase,in contrast to,kultur
vergleichbar,,,adj,comparable,kultur
die Wiederholung,die,Wiederholungen,noun,repetition/review,pruefung
wiederholen,,,verb,to repeat/review,pruefung
die Vorbereitung,die,Vorbereitungen,noun,preparation,pruefung
sich vorbereiten,,,verb,to prepare oneself,pruefung
bestehen,,,verb,to pass (exam),pruefung
durchfallen,,,verb,to fail (exam),pruefung
die Aufgabe,die,Aufgaben,noun,task/exercise,pruefung
die Bewertung,die,Bewertungen,noun,assessment,pruefung
bewerten,,,verb,to assess,pruefung
die Note,die,Noten,noun,grade,pruefung
das Ergebnis,das,Ergebnisse,noun,result,pruefung
die Frist,die,Fristen,noun,deadline,pruefung
die Voraussetzung,die,Voraussetzungen,noun,prerequisite,pruefung
selbstständig,,,adj,independent,pruefung
sicher,,,adj,confident/certain,pruefung
obwohl,,,conj,although,funktionswoerter
während,,,conj,while,funktionswoerter
bevor,,,conj,before,funktionswoerter
nachdem,,,conj,after,funktionswoerter
seit,,,prep,since,funktionswoerter
bis,,,prep,until,funktionswoerter
sodass,,,conj,so that,funktionswoerter
damit,,,conj,so that (purpose),funktionswoerter
um … zu,,,phrase,in order to,funktionswoerter
trotz,,,prep,despite,funktionswoerter
wegen,,,prep,because of,funktionswoerter
falls,,,conj,in case,funktionswoerter
je … desto,,,phrase,the … the (more),funktionswoerter
sowohl … als auch,,,phrase,both … and,funktionswoerter
entweder … oder,,,phrase,either … or,funktionswoerter
weder … noch,,,phrase,neither … nor,funktionswoerter
nicht nur … sondern auch,,,phrase,not only … but also,funktionswoerter
zwar … aber,,,phrase,indeed … but,funktionswoerter
sich beschäftigen mit,,,verb,to deal with/occupy oneself,alltag
sich kümmern um,,,verb,to take care of,alltag
sich bemühen,,,verb,to make an effort,alltag
sich engagieren,,,verb,to get involved,gesellschaft
teilen,,,verb,to share,alltag
verändern,,,verb,to change (something),alltag
die Veränderung,die,Veränderungen,noun,change,alltag
sich entwickeln,,,verb,to develop,alltag
die Entwicklung,die,Entwicklungen,noun,development,alltag
verbessern,,,verb,to improve,alltag
die Verbesserung,die,Verbesserungen,noun,improvement,alltag
verschlechtern,,,verb,to worsen,alltag
beeinflussen,,,verb,to influence,alltag
der Einfluss,der,Einflüsse,noun,influence,alltag
betreffen,,,verb,to affect/concern,alltag
sich auswirken auf,,,verb,to have an effect on,alltag
die Bedeutung,die,Bedeutungen,noun,meaning/importance,alltag
bedeuten,,,verb,to mean,alltag
bezeichnen,,,verb,to designate/call,alltag
sich handeln um,,,verb,to be about,alltag
vermuten,,,verb,to suspect/assume,alltag
sich vorstellen,,,verb,to imagine,alltag
befürchten,,,verb,to fear,gefuehle
sich sorgen,,,verb,to worry,gefuehle
die Sorge,die,Sorgen,noun,worry,gefuehle
riskieren,,,verb,to risk,alltag
das Risiko,das,Risiken,noun,risk,alltag
vermeiden,,,verb,to avoid,alltag
vorschlagen,,,verb,to suggest,alltag
der Vorschlag,der,Vorschläge,noun,suggestion,alltag
ablehnen,,,verb,to reject,alltag
akzeptieren,,,verb,to accept,alltag
überzeugen,,,verb,to convince,alltag
überzeugt,,,adj,convinced,alltag
sich irren,,,verb,to be mistaken,alltag
verwenden,,,verb,to use,alltag
benutzen,,,verb,to use,alltag
verwirklichen,,,verb,to realize/implement,zukunft
umsetzen,,,verb,to implement,zukunft
gelten,,,verb,to apply/be valid,gesellschaft
gültig,,,adj,valid,gesellschaft
die Ausnahme,die,Ausnahmen,noun,exception,gesellschaft
grundsätzlich,,,adv,fundamentally,gesellschaft
insgesamt,,,adv,overall,alltag
allerdings,,,adv,however,alltag
jedoch,,,adv,however,alltag
außerdem,,,adv,besides,alltag
schließlich,,,adv,finally,alltag
inzwischen,,,adv,meanwhile,alltag
gleichzeitig,,,adv,simultaneously,alltag
rechtzeitig,,,adv,on time,alltag
regelmäßig,,,adj,regular,alltag
gelegentlich,,,adv,occasionally,alltag
vor allem,,,phrase,above all,alltag
